supersource,count2
http://purl.obolibrary.org/obo/CHEBI_38161,113
http://purl.obolibrary.org/obo/CHEBI_38215,45
http://purl.obolibrary.org/obo/CHEBI_38231,51
http://purl.obolibrary.org/obo/CHEBI_38234,19
http://purl.obolibrary.org/obo/CHEBI_38317,16
http://purl.obolibrary.org/obo/CHEBI_38323,181
http://purl.obolibrary.org/obo/CHEBI_38324,38
http://purl.obolibrary.org/obo/CHEBI_38325,12
http://purl.obolibrary.org/obo/CHEBI_38456,3
http://purl.obolibrary.org/obo/CHEBI_38461,24
http://purl.obolibrary.org/obo/CHEBI_38462,151
http://purl.obolibrary.org/obo/CHEBI_38496,69
http://purl.obolibrary.org/obo/CHEBI_38497,63
http://purl.obolibrary.org/obo/CHEBI_38498,9
http://purl.obolibrary.org/obo/CHEBI_38499,29
http://purl.obolibrary.org/obo/CHEBI_38500,4
http://purl.obolibrary.org/obo/CHEBI_38502,29
http://purl.obolibrary.org/obo/CHEBI_38503,16
http://purl.obolibrary.org/obo/CHEBI_38623,25
http://purl.obolibrary.org/obo/CHEBI_38632,261
http://purl.obolibrary.org/obo/CHEBI_38633,26
http://purl.obolibrary.org/obo/CHEBI_38634,3
http://purl.obolibrary.org/obo/CHEBI_38637,107
http://purl.obolibrary.org/obo/CHEBI_38706,6
http://purl.obolibrary.org/obo/CHEBI_38807,7
http://purl.obolibrary.org/obo/CHEBI_38808,70
http://purl.obolibrary.org/obo/CHEBI_38809,12
http://purl.obolibrary.org/obo/CHEBI_38828,19
http://purl.obolibrary.org/obo/CHEBI_38849,10
http://purl.obolibrary.org/obo/CHEBI_38867,96
http://purl.obolibrary.org/obo/CHEBI_38869,37
http://purl.obolibrary.org/obo/CHEBI_38870,11
http://purl.obolibrary.org/obo/CHEBI_38877,19
http://purl.obolibrary.org/obo/CHEBI_38941,10
http://purl.obolibrary.org/obo/CHEBI_38956,2
http://purl.obolibrary.org/obo/CHEBI_38999,8
http://purl.obolibrary.org/obo/CHEBI_39000,70
http://purl.obolibrary.org/obo/CHEBI_39011,11
http://purl.obolibrary.org/obo/CHEBI_39116,40
http://purl.obolibrary.org/obo/CHEBI_39141,35
http://purl.obolibrary.org/obo/CHEBI_39142,3
http://purl.obolibrary.org/obo/CHEBI_39143,9
http://purl.obolibrary.org/obo/CHEBI_39144,5
http://purl.obolibrary.org/obo/CHEBI_39208,4
http://purl.obolibrary.org/obo/CHEBI_39215,6
http://purl.obolibrary.org/obo/CHEBI_39216,1
http://purl.obolibrary.org/obo/CHEBI_39217,1
http://purl.obolibrary.org/obo/CHEBI_39259,13
http://purl.obolibrary.org/obo/CHEBI_39276,13
http://purl.obolibrary.org/obo/CHEBI_39277,6
http://purl.obolibrary.org/obo/CHEBI_39301,1
http://purl.obolibrary.org/obo/CHEBI_39316,5
http://purl.obolibrary.org/obo/CHEBI_39317,148
http://purl.obolibrary.org/obo/CHEBI_39318,1
http://purl.obolibrary.org/obo/CHEBI_39351,3
http://purl.obolibrary.org/obo/CHEBI_39369,1
http://purl.obolibrary.org/obo/CHEBI_39378,1
http://purl.obolibrary.org/obo/CHEBI_39379,1
http://purl.obolibrary.org/obo/CHEBI_39412,2
http://purl.obolibrary.org/obo/CHEBI_39415,1
http://purl.obolibrary.org/obo/CHEBI_39442,29
http://purl.obolibrary.org/obo/CHEBI_39456,29
http://purl.obolibrary.org/obo/CHEBI_46787,92
http://purl.obolibrary.org/obo/CHEBI_47867,175
http://purl.obolibrary.org/obo/CHEBI_47868,31
http://purl.obolibrary.org/obo/CHEBI_47958,26
http://purl.obolibrary.org/obo/CHEBI_48001,40
http://purl.obolibrary.org/obo/CHEBI_48218,38
http://purl.obolibrary.org/obo/CHEBI_48219,20
http://purl.obolibrary.org/obo/CHEBI_48278,175
http://purl.obolibrary.org/obo/CHEBI_48279,89
http://purl.obolibrary.org/obo/CHEBI_48318,84
http://purl.obolibrary.org/obo/CHEBI_48353,4
http://purl.obolibrary.org/obo/CHEBI_48354,51
http://purl.obolibrary.org/obo/CHEBI_48355,21
http://purl.obolibrary.org/obo/CHEBI_48356,24
http://purl.obolibrary.org/obo/CHEBI_48357,21
http://purl.obolibrary.org/obo/CHEBI_48358,21
http://purl.obolibrary.org/obo/CHEBI_48359,2
http://purl.obolibrary.org/obo/CHEBI_48360,2
http://purl.obolibrary.org/obo/CHEBI_48406,2
http://purl.obolibrary.org/obo/CHEBI_48407,45
http://purl.obolibrary.org/obo/CHEBI_48422,52
http://purl.obolibrary.org/obo/CHEBI_48425,6
http://purl.obolibrary.org/obo/CHEBI_48525,2
http://purl.obolibrary.org/obo/CHEBI_48539,70
http://purl.obolibrary.org/obo/CHEBI_48540,89
http://purl.obolibrary.org/obo/CHEBI_48550,20
http://purl.obolibrary.org/obo/CHEBI_48560,126
http://purl.obolibrary.org/obo/CHEBI_48561,61
http://purl.obolibrary.org/obo/CHEBI_48578,111
http://purl.obolibrary.org/obo/CHEBI_48668,3
http://purl.obolibrary.org/obo/CHEBI_48675,4
http://purl.obolibrary.org/obo/CHEBI_48676,7
http://purl.obolibrary.org/obo/CHEBI_48705,571
http://purl.obolibrary.org/obo/CHEBI_48706,428
http://purl.obolibrary.org/obo/CHEBI_48873,133
http://purl.obolibrary.org/obo/CHEBI_48876,95
http://purl.obolibrary.org/obo/CHEBI_48878,17
http://purl.obolibrary.org/obo/CHEBI_48887,22
http://purl.obolibrary.org/obo/CHEBI_49020,85
http://purl.obolibrary.org/obo/CHEBI_49023,6
http://purl.obolibrary.org/obo/CHEBI_49103,144
http://purl.obolibrary.org/obo/CHEBI_49110,25
http://purl.obolibrary.org/obo/CHEBI_49159,9
